shipment_id,origin_city,destination_city,distance_km,baseline_co2_kg,actual_co2_kg,saved_co2_kg,methodology,verification_status,is_demo,created_at
demo-shp-0100,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-11T20:34:00.000Z
demo-shp-0099,Пловдив,София,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-11T21:12:00.000Z
demo-shp-0097,София,Пловдив,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-12T22:14:00.000Z
demo-shp-0096,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-13T22:09:00.000Z
demo-shp-0095,Пловдив,София,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-13T22:22:00.000Z
demo-shp-0094,София,Пловдив,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-14T19:48:00.000Z
demo-shp-0093,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-15T19:04:00.000Z
demo-shp-0091,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-16T19:07:00.000Z
demo-shp-0090,Пловдив,София,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-16T21:51:00.000Z
demo-shp-0088,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-18T20:43:00.000Z
demo-shp-0087,Варна,София,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-18T22:27:00.000Z
demo-shp-0085,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-19T20:08:00.000Z
demo-shp-0086,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-19T21:38:00.000Z
demo-shp-0084,Пловдив,София,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-20T19:05:00.000Z
demo-shp-0083,Пловдив,София,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-20T21:45:00.000Z
demo-shp-0080,Варна,София,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-22T20:18:00.000Z
demo-shp-0081,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-22T21:26:00.000Z
demo-shp-0078,Варна,София,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-23T21:32:00.000Z
demo-shp-0079,Пловдив,София,145,26.1,0.13,25.97,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-23T22:38:00.000Z
demo-shp-0076,София,Варна,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-24T20:27:00.000Z
demo-shp-0077,Варна,София,415,74.7,0.37,74.33,GHG-Protocol-Scope3-Cat4-v1,pending,true,2026-07-24T21:12:00.000Z
